imagename,label
./example_data/image1.jpg,1
./example_data/image2.jpg,1
./example_data/image3.jpg,1
./example_data/image4.jpg,1
./example_data/image5.jpg,1
./example_data/image6.jpg,1
./example_data/image7.jpg,0
./example_data/image8.jpg,0
./example_data/image9.jpg,0
./example_data/image10.jpg,0
./example_data/image11.jpg,1
./example_data/image12.jpg,0
./example_data/image13.jpg,1
./example_data/image14.jpg,0
./example_data/image15.jpg,1
./example_data/image16.jpg,1
./example_data/image17.jpg,0
./example_data/image18.jpg,1
./example_data/image19.jpg,1
./example_data/image20.jpg,0
./example_data/image21.jpg,1
./example_data/image22.jpg,1
./example_data/image23.jpg,1
./example_data/image24.jpg,1
./example_data/image25.jpg,0
./example_data/image26.jpg,1
./example_data/image27.jpg,0
./example_data/image28.jpg,0
./example_data/image29.jpg,0
./example_data/image30.jpg,0
./example_data/image31.jpg,0
./example_data/image32.jpg,0
./example_data/image33.jpg,1
./example_data/image34.jpg,1
./example_data/image35.jpg,1
./example_data/image36.jpg,1
./example_data/image37.jpg,0
./example_data/image38.jpg,0
./example_data/image39.jpg,1
./example_data/image40.jpg,1
./example_data/image41.jpg,1
./example_data/image42.jpg,1
./example_data/image43.jpg,1
./example_data/image44.jpg,0
./example_data/image45.jpg,0
./example_data/image46.jpg,1
./example_data/image47.jpg,0
./example_data/image48.jpg,1
./example_data/image49.jpg,1
./example_data/image50.jpg,0
./example_data/image51.jpg,1
./example_data/image52.jpg,1
./example_data/image53.jpg,1
./example_data/image54.jpg,1
./example_data/image55.jpg,0
./example_data/image56.jpg,0
./example_data/image57.jpg,0
./example_data/image58.jpg,1
./example_data/image59.jpg,0
./example_data/image60.jpg,0
./example_data/image61.jpg,0
./example_data/image62.jpg,1
./example_data/image63.jpg,0
./example_data/image64.jpg,0
./example_data/image65.jpg,1
./example_data/image66.jpg,0
./example_data/image67.jpg,1
./example_data/image68.jpg,1
./example_data/image69.jpg,1
./example_data/image70.jpg,0
./example_data/image71.jpg,1
./example_data/image72.jpg,1
./example_data/image73.jpg,0
./example_data/image74.jpg,0
./example_data/image75.jpg,1
./example_data/image76.jpg,1
./example_data/image77.jpg,0
./example_data/image78.jpg,1
./example_data/image79.jpg,1
./example_data/image80.jpg,1
./example_data/image81.jpg,0
./example_data/image82.jpg,1
./example_data/image83.jpg,0
./example_data/image84.jpg,1
./example_data/image85.jpg,1
./example_data/image86.jpg,0
./example_data/image87.jpg,1
./example_data/image88.jpg,1
./example_data/image89.jpg,0
./example_data/image90.jpg,1
./example_data/image91.jpg,0
./example_data/image92.jpg,1
./example_data/image93.jpg,0
./example_data/image94.jpg,1
./example_data/image95.jpg,1
./example_data/image96.jpg,0
./example_data/image97.jpg,1
./example_data/image98.jpg,0
./example_data/image99.jpg,0
./example_data/image100.jpg,1
./example_data/image101.jpg,0
./example_data/image102.jpg,0
./example_data/image103.jpg,1
./example_data/image104.jpg,0
./example_data/image105.jpg,0
./example_data/image106.jpg,0
./example_data/image107.jpg,1
./example_data/image108.jpg,1
./example_data/image109.jpg,1
./example_data/image110.jpg,1
./example_data/image111.jpg,0
./example_data/image112.jpg,0
./example_data/image113.jpg,1
./example_data/image114.jpg,1
./example_data/image115.jpg,0
./example_data/image116.jpg,0
./example_data/image117.jpg,0
./example_data/image118.jpg,0
./example_data/image119.jpg,1
./example_data/image120.jpg,1
./example_data/image121.jpg,0
./example_data/image122.jpg,0
./example_data/image123.jpg,0
./example_data/image124.jpg,0
./example_data/image125.jpg,0
./example_data/image126.jpg,1
./example_data/image127.jpg,0
./example_data/image128.jpg,0
./example_data/image129.jpg,1
./example_data/image130.jpg,1
./example_data/image131.jpg,1
./example_data/image132.jpg,1
./example_data/image133.jpg,1
./example_data/image134.jpg,0
./example_data/image135.jpg,1
./example_data/image136.jpg,0
./example_data/image137.jpg,0
./example_data/image138.jpg,1
./example_data/image139.jpg,0
./example_data/image140.jpg,1
./example_data/image141.jpg,0
./example_data/image142.jpg,0
./example_data/image143.jpg,1
./example_data/image144.jpg,0
./example_data/image145.jpg,0
./example_data/image146.jpg,1
./example_data/image147.jpg,0
./example_data/image148.jpg,0
./example_data/image149.jpg,0
./example_data/image150.jpg,1
